,year,month,station_code,station_name,t
60,2004,1,349220690,LESKO,-5.2
61,2004,2,349220690,LESKO,-1.3
62,2004,3,349220690,LESKO,2.6
63,2004,4,349220690,LESKO,8.1
64,2004,5,349220690,LESKO,10.9
65,2004,6,349220690,LESKO,15.3
66,2004,7,349220690,LESKO,17.0
67,2004,8,349220690,LESKO,16.9
68,2004,9,349220690,LESKO,11.9
69,2004,10,349220690,LESKO,10.3
70,2004,11,349220690,LESKO,3.2
71,2004,12,349220690,LESKO,0.6
60,2012,1,349220690,LESKO,-2.6
61,2012,2,349220690,LESKO,-8.8
62,2012,3,349220690,LESKO,3.5
63,2012,4,349220690,LESKO,9.1
64,2012,5,349220690,LESKO,13.5
65,2012,6,349220690,LESKO,17.2
66,2012,7,349220690,LESKO,19.4
67,2012,8,349220690,LESKO,17.6
68,2012,9,349220690,LESKO,14.4
69,2012,10,349220690,LESKO,8.8
70,2012,11,349220690,LESKO,6.7
71,2012,12,349220690,LESKO,-2.5
252,1981,1,349220690,LESKO,-5.7
253,1981,2,349220690,LESKO,-2.1
254,1981,3,349220690,LESKO,4.6
255,1981,4,349220690,LESKO,5.3
256,1981,5,349220690,LESKO,12.8
257,1981,6,349220690,LESKO,16.5
258,1981,7,349220690,LESKO,16.6
259,1981,8,349220690,LESKO,15.5
260,1981,9,349220690,LESKO,13.3
261,1981,10,349220690,LESKO,9.5
262,1981,11,349220690,LESKO,1.5
263,1981,12,349220690,LESKO,-1.6
264,1982,1,349220690,LESKO,-4.9
265,1982,2,349220690,LESKO,-3.5
266,1982,3,349220690,LESKO,2.4
267,1982,4,349220690,LESKO,4.3
268,1982,5,349220690,LESKO,13.1
269,1982,6,349220690,LESKO,15.2
270,1982,7,349220690,LESKO,16.8
271,1982,8,349220690,LESKO,16.9
272,1982,9,349220690,LESKO,15.3
273,1982,10,349220690,LESKO,8.9
274,1982,11,349220690,LESKO,4.6
275,1982,12,349220690,LESKO,0.9
276,1983,1,349220690,LESKO,1.1
277,1983,2,349220690,LESKO,-2.9
278,1983,3,349220690,LESKO,3.7
279,1983,4,349220690,LESKO,10.0
280,1983,5,349220690,LESKO,14.6
281,1983,6,349220690,LESKO,15.1
282,1983,7,349220690,LESKO,17.0
283,1983,8,349220690,LESKO,16.1
284,1983,9,349220690,LESKO,13.6
285,1983,10,349220690,LESKO,7.8
286,1983,11,349220690,LESKO,0.8
287,1983,12,349220690,LESKO,-0.8
288,1984,1,349220690,LESKO,-1.0
289,1984,2,349220690,LESKO,-3.0
290,1984,3,349220690,LESKO,0.2
291,1984,4,349220690,LESKO,7.3
292,1984,5,349220690,LESKO,12.6
293,1984,6,349220690,LESKO,13.3
294,1984,7,349220690,LESKO,14.4
295,1984,8,349220690,LESKO,15.8
296,1984,9,349220690,LESKO,13.4
297,1984,10,349220690,LESKO,10.6
298,1984,11,349220690,LESKO,2.9
299,1984,12,349220690,LESKO,-2.5
300,1985,1,349220690,LESKO,-8.0
301,1985,2,349220690,LESKO,-9.5
302,1985,3,349220690,LESKO,2.3
303,1985,4,349220690,LESKO,7.6
304,1985,5,349220690,LESKO,13.2
305,1985,6,349220690,LESKO,12.9
306,1985,7,349220690,LESKO,16.2
307,1985,8,349220690,LESKO,17.1
308,1985,9,349220690,LESKO,11.9
309,1985,10,349220690,LESKO,7.4
310,1985,11,349220690,LESKO,0.4
311,1985,12,349220690,LESKO,2.1
60,2015,1,349220690,LESKO,-0.1
61,2015,2,349220690,LESKO,0.2
62,2015,3,349220690,LESKO,3.8
63,2015,4,349220690,LESKO,7.5
64,2015,5,349220690,LESKO,12.0
65,2015,6,349220690,LESKO,16.4
66,2015,7,349220690,LESKO,19.0
67,2015,8,349220690,LESKO,20.2
68,2015,9,349220690,LESKO,14.7
69,2015,10,349220690,LESKO,7.4
70,2015,11,349220690,LESKO,4.7
71,2015,12,349220690,LESKO,2.0
60,2002,1,349220690,LESKO,-2.3
61,2002,2,349220690,LESKO,3.5
62,2002,3,349220690,LESKO,4.6
63,2002,4,349220690,LESKO,7.5
64,2002,5,349220690,LESKO,15.4
65,2002,6,349220690,LESKO,16.6
66,2002,7,349220690,LESKO,19.3
67,2002,8,349220690,LESKO,18.0
68,2002,9,349220690,LESKO,11.4
69,2002,10,349220690,LESKO,7.0
70,2002,11,349220690,LESKO,5.8
71,2002,12,349220690,LESKO,-5.3
300,1986,1,349220690,LESKO,-2.2
301,1986,2,349220690,LESKO,-7.8
302,1986,3,349220690,LESKO,2.0
303,1986,4,349220690,LESKO,9.9
304,1986,5,349220690,LESKO,13.8
305,1986,6,349220690,LESKO,15.2
306,1986,7,349220690,LESKO,15.7
307,1986,8,349220690,LESKO,17.0
308,1986,9,349220690,LESKO,12.1
309,1986,10,349220690,LESKO,7.4
310,1986,11,349220690,LESKO,4.5
311,1986,12,349220690,LESKO,-2.5
312,1987,1,349220690,LESKO,-10.2
313,1987,2,349220690,LESKO,-0.6
314,1987,3,349220690,LESKO,-3.9
315,1987,4,349220690,LESKO,6.5
316,1987,5,349220690,LESKO,10.8
317,1987,6,349220690,LESKO,15.5
318,1987,7,349220690,LESKO,18.3
319,1987,8,349220690,LESKO,14.1
320,1987,9,349220690,LESKO,13.3
321,1987,10,349220690,LESKO,8.4
322,1987,11,349220690,LESKO,4.0
323,1987,12,349220690,LESKO,-0.6
324,1988,1,349220690,LESKO,1.9
325,1988,2,349220690,LESKO,0.3
326,1988,3,349220690,LESKO,0.5
327,1988,4,349220690,LESKO,6.6
328,1988,5,349220690,LESKO,12.8
329,1988,6,349220690,LESKO,14.3
330,1988,7,349220690,LESKO,18.0
331,1988,8,349220690,LESKO,16.3
332,1988,9,349220690,LESKO,12.9
333,1988,10,349220690,LESKO,7.5
334,1988,11,349220690,LESKO,-2.3
335,1988,12,349220690,LESKO,-1.2
336,1989,1,349220690,LESKO,-1.3
337,1989,2,349220690,LESKO,1.9
338,1989,3,349220690,LESKO,4.8
339,1989,4,349220690,LESKO,9.7
340,1989,5,349220690,LESKO,11.9
