,year,month,station_code,station_name,t
672,2004,1,354220195,SUWAŁKI,-7.1
673,2004,2,354220195,SUWAŁKI,-2.2
674,2004,3,354220195,SUWAŁKI,1.3
675,2004,4,354220195,SUWAŁKI,7.2
676,2004,5,354220195,SUWAŁKI,10.4
677,2004,6,354220195,SUWAŁKI,13.8
678,2004,7,354220195,SUWAŁKI,16.0
679,2004,8,354220195,SUWAŁKI,17.9
680,2004,9,354220195,SUWAŁKI,12.4
681,2004,10,354220195,SUWAŁKI,8.3
682,2004,11,354220195,SUWAŁKI,1.6
683,2004,12,354220195,SUWAŁKI,0.7
672,2012,1,354220195,SUWAŁKI,-3.2
673,2012,2,354220195,SUWAŁKI,-9.2
674,2012,3,354220195,SUWAŁKI,2.0
675,2012,4,354220195,SUWAŁKI,7.4
676,2012,5,354220195,SUWAŁKI,13.2
677,2012,6,354220195,SUWAŁKI,14.6
678,2012,7,354220195,SUWAŁKI,19.0
679,2012,8,354220195,SUWAŁKI,16.4
680,2012,9,354220195,SUWAŁKI,12.8
681,2012,10,354220195,SUWAŁKI,6.8
682,2012,11,354220195,SUWAŁKI,4.4
683,2012,12,354220195,SUWAŁKI,-5.2
3571,1981,1,354220195,SUWAŁKI,-5.0
3572,1981,2,354220195,SUWAŁKI,-3.4
3573,1981,3,354220195,SUWAŁKI,0.3
3574,1981,4,354220195,SUWAŁKI,3.4
3575,1981,5,354220195,SUWAŁKI,13.1
3576,1981,6,354220195,SUWAŁKI,15.3
3577,1981,7,354220195,SUWAŁKI,16.6
3578,1981,8,354220195,SUWAŁKI,15.0
3579,1981,9,354220195,SUWAŁKI,12.3
3580,1981,10,354220195,SUWAŁKI,7.5
3581,1981,11,354220195,SUWAŁKI,1.6
3582,1981,12,354220195,SUWAŁKI,-4.7
3583,1982,1,354220195,SUWAŁKI,-6.0
3584,1982,2,354220195,SUWAŁKI,-4.7
3585,1982,3,354220195,SUWAŁKI,1.3
3586,1982,4,354220195,SUWAŁKI,4.7
3587,1982,5,354220195,SUWAŁKI,12.3
3588,1982,6,354220195,SUWAŁKI,13.4
3589,1982,7,354220195,SUWAŁKI,17.3
3590,1982,8,354220195,SUWAŁKI,17.0
3591,1982,9,354220195,SUWAŁKI,12.9
3592,1982,10,354220195,SUWAŁKI,7.0
3593,1982,11,354220195,SUWAŁKI,3.3
3594,1982,12,354220195,SUWAŁKI,0.0
3595,1983,1,354220195,SUWAŁKI,1.3
3596,1983,2,354220195,SUWAŁKI,-4.6
3597,1983,3,354220195,SUWAŁKI,1.3
3598,1983,4,354220195,SUWAŁKI,8.0
3599,1983,5,354220195,SUWAŁKI,14.5
3600,1983,6,354220195,SUWAŁKI,14.4
3601,1983,7,354220195,SUWAŁKI,17.0
3602,1983,8,354220195,SUWAŁKI,17.2
3603,1983,9,354220195,SUWAŁKI,13.6
3604,1983,10,354220195,SUWAŁKI,7.3
3605,1983,11,354220195,SUWAŁKI,0.9
3606,1983,12,354220195,SUWAŁKI,-2.6
