,year,month,station_code,station_name,t
408,2004,1,352200375,WARSZAWA,-5.1
409,2004,2,352200375,WARSZAWA,0.0
410,2004,3,352200375,WARSZAWA,3.5
411,2004,4,352200375,WARSZAWA,8.7
412,2004,5,352200375,WARSZAWA,12.0
413,2004,6,352200375,WARSZAWA,15.8
414,2004,7,352200375,WARSZAWA,17.9
415,2004,8,352200375,WARSZAWA,19.0
416,2004,9,352200375,WARSZAWA,13.5
417,2004,10,352200375,WARSZAWA,10.0
418,2004,11,352200375,WARSZAWA,3.7
419,2004,12,352200375,WARSZAWA,1.8
408,2012,1,352200375,WARSZAWA,-1.0
409,2012,2,352200375,WARSZAWA,-6.1
410,2012,3,352200375,WARSZAWA,4.7
411,2012,4,352200375,WARSZAWA,9.4
412,2012,5,352200375,WARSZAWA,15.6
413,2012,6,352200375,WARSZAWA,17.3
414,2012,7,352200375,WARSZAWA,21.1
415,2012,8,352200375,WARSZAWA,19.0
416,2012,9,352200375,WARSZAWA,14.7
417,2012,10,352200375,WARSZAWA,8.2
418,2012,11,352200375,WARSZAWA,5.8
419,2012,12,352200375,WARSZAWA,-3.1
2112,1981,1,352200375,WARSZAWA,-3.3
2113,1981,2,352200375,WARSZAWA,-0.9
2114,1981,3,352200375,WARSZAWA,3.9
2115,1981,4,352200375,WARSZAWA,5.9
2116,1981,5,352200375,WARSZAWA,14.1
2117,1981,6,352200375,WARSZAWA,17.0
2118,1981,7,352200375,WARSZAWA,18.0
2119,1981,8,352200375,WARSZAWA,16.6
2120,1981,9,352200375,WARSZAWA,14.0
2121,1981,10,352200375,WARSZAWA,8.8
2122,1981,11,352200375,WARSZAWA,3.4
2123,1981,12,352200375,WARSZAWA,-3.6
2124,1982,1,352200375,WARSZAWA,-3.6
2125,1982,2,352200375,WARSZAWA,-2.0
2126,1982,3,352200375,WARSZAWA,3.5
2127,1982,4,352200375,WARSZAWA,5.6
2128,1982,5,352200375,WARSZAWA,14.2
2129,1982,6,352200375,WARSZAWA,15.8
2130,1982,7,352200375,WARSZAWA,19.2
2131,1982,8,352200375,WARSZAWA,19.3
2132,1982,9,352200375,WARSZAWA,15.1
2133,1982,10,352200375,WARSZAWA,8.7
2134,1982,11,352200375,WARSZAWA,4.6
2135,1982,12,352200375,WARSZAWA,1.1
2136,1983,1,352200375,WARSZAWA,3.2
2137,1983,2,352200375,WARSZAWA,-2.6
2138,1983,3,352200375,WARSZAWA,4.0
2139,1983,4,352200375,WARSZAWA,9.7
2140,1983,5,352200375,WARSZAWA,15.6
2141,1983,6,352200375,WARSZAWA,17.0
