,year,month,station_code,station_name,t
252,2004,1,351160424,WROCŁAW,-3.2
253,2004,2,351160424,WROCŁAW,2.0
254,2004,3,351160424,WROCŁAW,4.5
255,2004,4,351160424,WROCŁAW,9.7
256,2004,5,351160424,WROCŁAW,12.8
257,2004,6,351160424,WROCŁAW,16.8
258,2004,7,351160424,WROCŁAW,18.3
259,2004,8,351160424,WROCŁAW,19.5
260,2004,9,351160424,WROCŁAW,14.4
261,2004,10,351160424,WROCŁAW,10.6
262,2004,11,351160424,WROCŁAW,4.7
263,2004,12,351160424,WROCŁAW,1.4
252,2012,1,351160424,WROCŁAW,1.0
253,2012,2,351160424,WROCŁAW,-3.9
254,2012,3,351160424,WROCŁAW,6.3
255,2012,4,351160424,WROCŁAW,9.5
256,2012,5,351160424,WROCŁAW,15.6
257,2012,6,351160424,WROCŁAW,17.1
258,2012,7,351160424,WROCŁAW,20.0
259,2012,8,351160424,WROCŁAW,19.4
260,2012,9,351160424,WROCŁAW,14.8
261,2012,10,351160424,WROCŁAW,8.7
262,2012,11,351160424,WROCŁAW,5.8
263,2012,12,351160424,WROCŁAW,-0.7
1332,1981,1,351160424,WROCŁAW,-1.5
1333,1981,2,351160424,WROCŁAW,0.0
1334,1981,3,351160424,WROCŁAW,6.6
1335,1981,4,351160424,WROCŁAW,7.1
1336,1981,5,351160424,WROCŁAW,14.3
1337,1981,6,351160424,WROCŁAW,17.4
1338,1981,7,351160424,WROCŁAW,17.4
1339,1981,8,351160424,WROCŁAW,17.3
1340,1981,9,351160424,WROCŁAW,14.1
1341,1981,10,351160424,WROCŁAW,8.9
1342,1981,11,351160424,WROCŁAW,4.5
1343,1981,12,351160424,WROCŁAW,-2.5
1344,1982,1,351160424,WROCŁAW,-3.7
1345,1982,2,351160424,WROCŁAW,-0.9
1346,1982,3,351160424,WROCŁAW,4.8
1347,1982,4,351160424,WROCŁAW,6.2
1348,1982,5,351160424,WROCŁAW,13.5
1349,1982,6,351160424,WROCŁAW,16.8
1350,1982,7,351160424,WROCŁAW,19.2
1351,1982,8,351160424,WROCŁAW,18.8
1352,1982,9,351160424,WROCŁAW,15.9
1353,1982,10,351160424,WROCŁAW,10.0
1354,1982,11,351160424,WROCŁAW,5.4
1355,1982,12,351160424,WROCŁAW,1.7
1356,1983,1,351160424,WROCŁAW,4.0
1357,1983,2,351160424,WROCŁAW,-2.4
1358,1983,3,351160424,WROCŁAW,4.9
1359,1983,4,351160424,WROCŁAW,10.0
1360,1983,5,351160424,WROCŁAW,14.0
1361,1983,6,351160424,WROCŁAW,16.8
1362,1983,7,351160424,WROCŁAW,20.4
1363,1983,8,351160424,WROCŁAW,18.6
1364,1983,9,351160424,WROCŁAW,14.4
1365,1983,10,351160424,WROCŁAW,9.8
1366,1983,11,351160424,WROCŁAW,3.1
1367,1983,12,351160424,WROCŁAW,-0.9
1368,1984,1,351160424,WROCŁAW,1.0
1369,1984,2,351160424,WROCŁAW,-0.4
1370,1984,3,351160424,WROCŁAW,2.2
1371,1984,4,351160424,WROCŁAW,7.7
1372,1984,5,351160424,WROCŁAW,12.7
1373,1984,6,351160424,WROCŁAW,14.8
1374,1984,7,351160424,WROCŁAW,15.7
1375,1984,8,351160424,WROCŁAW,17.8
1376,1984,9,351160424,WROCŁAW,13.0
1377,1984,10,351160424,WROCŁAW,11.1
1378,1984,11,351160424,WROCŁAW,3.2
1379,1984,12,351160424,WROCŁAW,-0.8
1380,1985,1,351160424,WROCŁAW,-7.9
1381,1985,2,351160424,WROCŁAW,-5.6
1382,1985,3,351160424,WROCŁAW,3.2
1383,1985,4,351160424,WROCŁAW,8.5
1384,1985,5,351160424,WROCŁAW,14.7
1385,1985,6,351160424,WROCŁAW,14.1
1386,1985,7,351160424,WROCŁAW,18.0
1387,1985,8,351160424,WROCŁAW,17.4
1388,1985,9,351160424,WROCŁAW,13.3
1389,1985,10,351160424,WROCŁAW,8.4
1390,1985,11,351160424,WROCŁAW,1.0
1391,1985,12,351160424,WROCŁAW,3.0
262,2015,1,351160424,WROCŁAW,2.9
263,2015,2,351160424,WROCŁAW,2.1
264,2015,3,351160424,WROCŁAW,6.0
265,2015,4,351160424,WROCŁAW,9.4
266,2015,5,351160424,WROCŁAW,13.9
267,2015,6,351160424,WROCŁAW,17.1
268,2015,7,351160424,WROCŁAW,20.9
269,2015,8,351160424,WROCŁAW,23.2
270,2015,9,351160424,WROCŁAW,15.7
271,2015,10,351160424,WROCŁAW,9.0
272,2015,11,351160424,WROCŁAW,6.9
273,2015,12,351160424,WROCŁAW,6.1
252,2002,1,351160424,WROCŁAW,0.9
253,2002,2,351160424,WROCŁAW,5.0
254,2002,3,351160424,WROCŁAW,5.3
255,2002,4,351160424,WROCŁAW,9.0
256,2002,5,351160424,WROCŁAW,17.0
257,2002,6,351160424,WROCŁAW,18.2
258,2002,7,351160424,WROCŁAW,20.1
259,2002,8,351160424,WROCŁAW,20.6
260,2002,9,351160424,WROCŁAW,13.6
261,2002,10,351160424,WROCŁAW,8.1
262,2002,11,351160424,WROCŁAW,4.9
263,2002,12,351160424,WROCŁAW,-3.3
1380,1986,1,351160424,WROCŁAW,-0.5
1381,1986,2,351160424,WROCŁAW,-8.5
1382,1986,3,351160424,WROCŁAW,2.8
1383,1986,4,351160424,WROCŁAW,8.7
1384,1986,5,351160424,WROCŁAW,15.1
1385,1986,6,351160424,WROCŁAW,16.1
1386,1986,7,351160424,WROCŁAW,17.5
1387,1986,8,351160424,WROCŁAW,17.0
1388,1986,9,351160424,WROCŁAW,11.7
1389,1986,10,351160424,WROCŁAW,9.3
1390,1986,11,351160424,WROCŁAW,5.2
1391,1986,12,351160424,WROCŁAW,1.0
1392,1987,1,351160424,WROCŁAW,-9.4
1393,1987,2,351160424,WROCŁAW,-1.4
1394,1987,3,351160424,WROCŁAW,-0.8
1395,1987,4,351160424,WROCŁAW,8.4
1396,1987,5,351160424,WROCŁAW,11.4
1397,1987,6,351160424,WROCŁAW,15.6
1398,1987,7,351160424,WROCŁAW,18.0
1399,1987,8,351160424,WROCŁAW,15.7
1400,1987,9,351160424,WROCŁAW,14.6
1401,1987,10,351160424,WROCŁAW,9.4
1402,1987,11,351160424,WROCŁAW,5.1
1403,1987,12,351160424,WROCŁAW,1.6
1404,1988,1,351160424,WROCŁAW,2.8
1405,1988,2,351160424,WROCŁAW,2.2
1406,1988,3,351160424,WROCŁAW,2.3
1407,1988,4,351160424,WROCŁAW,8.2
1408,1988,5,351160424,WROCŁAW,14.9
1409,1988,6,351160424,WROCŁAW,16.3
1410,1988,7,351160424,WROCŁAW,18.6
1411,1988,8,351160424,WROCŁAW,17.8
1412,1988,9,351160424,WROCŁAW,14.1
1413,1988,10,351160424,WROCŁAW,9.1
1414,1988,11,351160424,WROCŁAW,1.1
1415,1988,12,351160424,WROCŁAW,2.6
1416,1989,1,351160424,WROCŁAW,1.8
1417,1989,2,351160424,WROCŁAW,3.7
1418,1989,3,351160424,WROCŁAW,6.4
1419,1989,4,351160424,WROCŁAW,8.9
1420,1989,5,351160424,WROCŁAW,13.9
1421,1989,6,351160424,WROCŁAW,15.6
1422,1989,7,351160424,WROCŁAW,18.3
1423,1989,8,351160424,WROCŁAW,18.3
1424,1989,9,351160424,WROCŁAW,15.1
1425,1989,10,351160424,WROCŁAW,10.9
1426,1989,11,351160424,WROCŁAW,2.0
1427,1989,12,351160424,WROCŁAW,2.0
1428,1990,1,351160424,WROCŁAW,2.3
1429,1990,2,351160424,WROCŁAW,5.5
1430,1990,3,351160424,WROCŁAW,7.6
1431,1990,4,351160424,WROCŁAW,8.2
1432,1990,5,351160424,WROCŁAW,14.6
1433,1990,6,351160424,WROCŁAW,16.6
1434,1990,7,351160424,WROCŁAW,17.7
1435,1990,8,351160424,WROCŁAW,18.6
1436,1990,9,351160424,WROCŁAW,12.1
1437,1990,10,351160424,WROCŁAW,9.6
1438,1990,11,351160424,WROCŁAW,5.0
1439,1990,12,351160424,WROCŁAW,0.5
264,2017,1,351160424,WROCŁAW,-2.4
265,2017,2,351160424,WROCŁAW,1.9
266,2017,3,351160424,WROCŁAW,7.6
267,2017,4,351160424,WROCŁAW,8.6
268,2017,5,351160424,WROCŁAW,15.0
269,2017,6,351160424,WROCŁAW,19.3
270,2017,7,351160424,WROCŁAW,19.9
271,2017,8,351160424,WROCŁAW,20.2
272,2017,9,351160424,WROCŁAW,13.8
273,2017,10,351160424,WROCŁAW,11.5
274,2017,11,351160424,WROCŁAW,6.1
275,2017,12,351160424,WROCŁAW,3.4
1356,1991,1,351160424,WROCŁAW,0.9
1357,1991,2,351160424,WROCŁAW,-3.8
1358,1991,3,351160424,WROCŁAW,6.0
1359,1991,4,351160424,WROCŁAW,8.2
1360,1991,5,351160424,WROCŁAW,10.2
1361,1991,6,351160424,WROCŁAW,15.0
1362,1991,7,351160424,WROCŁAW,19.7
1363,1991,8,351160424,WROCŁAW,18.4
1364,1991,9,351160424,WROCŁAW,15.2
1365,1991,10,351160424,WROCŁAW,7.9
1366,1991,11,351160424,WROCŁAW,3.7
1367,1991,12,351160424,WROCŁAW,-0.5
1368,1992,1,351160424,WROCŁAW,0.4
1369,1992,2,351160424,WROCŁAW,2.5
1370,1992,3,351160424,WROCŁAW,4.4
1371,1992,4,351160424,WROCŁAW,8.6
1372,1992,5,351160424,WROCŁAW,14.4
1373,1992,6,351160424,WROCŁAW,19.0
1374,1992,7,351160424,WROCŁAW,20.2
1375,1992,8,351160424,WROCŁAW,21.7
1376,1992,9,351160424,WROCŁAW,14.1
1377,1992,10,351160424,WROCŁAW,7.1
1378,1992,11,351160424,WROCŁAW,4.7
1379,1992,12,351160424,WROCŁAW,-0.3
1380,1993,1,351160424,WROCŁAW,1.4
1381,1993,2,351160424,WROCŁAW,-0.8
1382,1993,3,351160424,WROCŁAW,2.7
1383,1993,4,351160424,WROCŁAW,9.6
1384,1993,5,351160424,WROCŁAW,16.0
1385,1993,6,351160424,WROCŁAW,16.2
1386,1993,7,351160424,WROCŁAW,17.0
1387,1993,8,351160424,WROCŁAW,17.1
1388,1993,9,351160424,WROCŁAW,13.4
1389,1993,10,351160424,WROCŁAW,8.6
1390,1993,11,351160424,WROCŁAW,-0.3
1391,1993,12,351160424,WROCŁAW,2.9
1392,1994,1,351160424,WROCŁAW,3.3
1393,1994,2,351160424,WROCŁAW,-1.1
1394,1994,3,351160424,WROCŁAW,5.6
1395,1994,4,351160424,WROCŁAW,9.0
1396,1994,5,351160424,WROCŁAW,12.8
1397,1994,6,351160424,WROCŁAW,16.6
1398,1994,7,351160424,WROCŁAW,22.3
1399,1994,8,351160424,WROCŁAW,19.0
1400,1994,9,351160424,WROCŁAW,14.7
1401,1994,10,351160424,WROCŁAW,7.0
1402,1994,11,351160424,WROCŁAW,5.3
1403,1994,12,351160424,WROCŁAW,2.5
1404,1995,1,351160424,WROCŁAW,-0.4
1405,1995,2,351160424,WROCŁAW,4.6
1406,1995,3,351160424,WROCŁAW,3.5
1407,1995,4,351160424,WROCŁAW,8.8
1408,1995,5,351160424,WROCŁAW,12.9
1409,1995,6,351160424,WROCŁAW,15.9
1410,1995,7,351160424,WROCŁAW,20.9
1411,1995,8,351160424,WROCŁAW,18.6
1412,1995,9,351160424,WROCŁAW,13.2
1413,1995,10,351160424,WROCŁAW,11.2
1414,1995,11,351160424,WROCŁAW,1.2
1415,1995,12,351160424,WROCŁAW,-3.2
252,2011,1,351160424,WROCŁAW,0.5
253,2011,2,351160424,WROCŁAW,-1.6
254,2011,3,351160424,WROCŁAW,4.4
255,2011,4,351160424,WROCŁAW,11.6
256,2011,5,351160424,WROCŁAW,14.5
257,2011,6,351160424,WROCŁAW,18.9
258,2011,7,351160424,WROCŁAW,18.0
259,2011,8,351160424,WROCŁAW,19.2
260,2011,9,351160424,WROCŁAW,15.7
261,2011,10,351160424,WROCŁAW,9.5
262,2011,11,351160424,WROCŁAW,3.8
263,2011,12,351160424,WROCŁAW,3.8
252,2003,1,351160424,WROCŁAW,-1.7
253,2003,2,351160424,WROCŁAW,-3.1
254,2003,3,351160424,WROCŁAW,3.7
255,2003,4,351160424,WROCŁAW,8.2
256,2003,5,351160424,WROCŁAW,15.7
257,2003,6,351160424,WROCŁAW,19.5
258,2003,7,351160424,WROCŁAW,19.5
259,2003,8,351160424,WROCŁAW,20.4
260,2003,9,351160424,WROCŁAW,14.3
261,2003,10,351160424,WROCŁAW,5.9
262,2003,11,351160424,WROCŁAW,5.5
263,2003,12,351160424,WROCŁAW,1.6
1320,1976,1,351160424,WROCŁAW,-0.2
1321,1976,2,351160424,WROCŁAW,-1.4
1322,1976,3,351160424,WROCŁAW,0.5
1323,1976,4,351160424,WROCŁAW,7.3
1324,1976,5,351160424,WROCŁAW,12.7
1325,1976,6,351160424,WROCŁAW,16.0
1326,1976,7,351160424,WROCŁAW,18.6
1327,1976,8,351160424,WROCŁAW,15.2
1328,1976,9,351160424,WROCŁAW,12.6
1329,1976,10,351160424,WROCŁAW,9.2
1330,1976,11,351160424,WROCŁAW,5.3
1331,1976,12,351160424,WROCŁAW,-1.1
1332,1977,1,351160424,WROCŁAW,-0.6
1333,1977,2,351160424,WROCŁAW,1.7
1334,1977,3,351160424,WROCŁAW,6.4
1335,1977,4,351160424,WROCŁAW,6.3
1336,1977,5,351160424,WROCŁAW,12.3
1337,1977,6,351160424,WROCŁAW,17.1
1338,1977,7,351160424,WROCŁAW,16.4
1339,1977,8,351160424,WROCŁAW,16.3
1340,1977,9,351160424,WROCŁAW,11.7
1341,1977,10,351160424,WROCŁAW,9.4
1342,1977,11,351160424,WROCŁAW,5.7
1343,1977,12,351160424,WROCŁAW,0.5
1344,1978,1,351160424,WROCŁAW,0.1
1345,1978,2,351160424,WROCŁAW,-1.1
1346,1978,3,351160424,WROCŁAW,4.6
1347,1978,4,351160424,WROCŁAW,6.8
1348,1978,5,351160424,WROCŁAW,12.2
1349,1978,6,351160424,WROCŁAW,15.3
1350,1978,7,351160424,WROCŁAW,16.0
1351,1978,8,351160424,WROCŁAW,15.8
1352,1978,9,351160424,WROCŁAW,12.5
1353,1978,10,351160424,WROCŁAW,9.4
1354,1978,11,351160424,WROCŁAW,4.4
1355,1978,12,351160424,WROCŁAW,-1.1
1356,1979,1,351160424,WROCŁAW,-4.5
1357,1979,2,351160424,WROCŁAW,-3.0
1358,1979,3,351160424,WROCŁAW,3.9
1359,1979,4,351160424,WROCŁAW,7.0
1360,1979,5,351160424,WROCŁAW,14.3
1361,1979,6,351160424,WROCŁAW,18.9
1362,1979,7,351160424,WROCŁAW,15.3
1363,1979,8,351160424,WROCŁAW,17.0
1364,1979,9,351160424,WROCŁAW,13.8
1365,1979,10,351160424,WROCŁAW,7.2
1366,1979,11,351160424,WROCŁAW,3.7
1367,1979,12,351160424,WROCŁAW,3.7
1368,1980,1,351160424,WROCŁAW,-5.1
1369,1980,2,351160424,WROCŁAW,0.5
1370,1980,3,351160424,WROCŁAW,2.1
1371,1980,4,351160424,WROCŁAW,6.3
1372,1980,5,351160424,WROCŁAW,10.3
1373,1980,6,351160424,WROCŁAW,15.6
1374,1980,7,351160424,WROCŁAW,16.2
1375,1980,8,351160424,WROCŁAW,16.6
1376,1980,9,351160424,WROCŁAW,12.8
1377,1980,10,351160424,WROCŁAW,8.9
1378,1980,11,351160424,WROCŁAW,2.7
1379,1980,12,351160424,WROCŁAW,0.7
1340,1996,1,351160424,WROCŁAW,-5.0
1341,1996,2,351160424,WROCŁAW,-4.1
1342,1996,3,351160424,WROCŁAW,-0.3
1343,1996,4,351160424,WROCŁAW,8.2
1344,1996,5,351160424,WROCŁAW,13.3
1345,1996,6,351160424,WROCŁAW,16.8
1346,1996,7,351160424,WROCŁAW,16.5
1347,1996,8,351160424,WROCŁAW,17.7
1348,1996,9,351160424,WROCŁAW,10.7
1349,1996,10,351160424,WROCŁAW,9.9
1350,1996,11,351160424,WROCŁAW,5.9
1351,1996,12,351160424,WROCŁAW,-4.4
1352,1997,1,351160424,WROCŁAW,-4.3
1353,1997,2,351160424,WROCŁAW,3.2
1354,1997,3,351160424,WROCŁAW,4.3
1355,1997,4,351160424,WROCŁAW,6.0
1356,1997,5,351160424,WROCŁAW,13.8
