,year,month,station_code,station_name,t
12,2004,1,349190625,ZAKOPANE,-6.0
13,2004,2,349190625,ZAKOPANE,-2.1
14,2004,3,349190625,ZAKOPANE,0.1
15,2004,4,349190625,ZAKOPANE,6.4
16,2004,5,349190625,ZAKOPANE,8.7
17,2004,6,349190625,ZAKOPANE,13.1
18,2004,7,349190625,ZAKOPANE,14.6
19,2004,8,349190625,ZAKOPANE,15.0
20,2004,9,349190625,ZAKOPANE,10.2
21,2004,10,349190625,ZAKOPANE,7.8
22,2004,11,349190625,ZAKOPANE,1.3
23,2004,12,349190625,ZAKOPANE,-2.1
12,2012,1,349190625,ZAKOPANE,-3.5
13,2012,2,349190625,ZAKOPANE,-9.1
14,2012,3,349190625,ZAKOPANE,1.3
15,2012,4,349190625,ZAKOPANE,6.7
16,2012,5,349190625,ZAKOPANE,11.5
17,2012,6,349190625,ZAKOPANE,15.1
18,2012,7,349190625,ZAKOPANE,16.6
19,2012,8,349190625,ZAKOPANE,16.0
20,2012,9,349190625,ZAKOPANE,12.5
21,2012,10,349190625,ZAKOPANE,6.9
22,2012,11,349190625,ZAKOPANE,4.3
23,2012,12,349190625,ZAKOPANE,-3.9
60,1981,1,349190625,ZAKOPANE,-6.7
61,1981,2,349190625,ZAKOPANE,-3.3
62,1981,3,349190625,ZAKOPANE,3.3
63,1981,4,349190625,ZAKOPANE,3.8
64,1981,5,349190625,ZAKOPANE,10.4
65,1981,6,349190625,ZAKOPANE,13.9
66,1981,7,349190625,ZAKOPANE,14.3
67,1981,8,349190625,ZAKOPANE,13.1
68,1981,9,349190625,ZAKOPANE,11.1
69,1981,10,349190625,ZAKOPANE,7.0
70,1981,11,349190625,ZAKOPANE,0.0
71,1981,12,349190625,ZAKOPANE,-4.2
72,1982,1,349190625,ZAKOPANE,-6.5
73,1982,2,349190625,ZAKOPANE,-4.8
74,1982,3,349190625,ZAKOPANE,0.8
75,1982,4,349190625,ZAKOPANE,1.8
76,1982,5,349190625,ZAKOPANE,10.8
77,1982,6,349190625,ZAKOPANE,13.4
78,1982,7,349190625,ZAKOPANE,14.7
79,1982,8,349190625,ZAKOPANE,14.9
80,1982,9,349190625,ZAKOPANE,13.3
81,1982,10,349190625,ZAKOPANE,7.5
82,1982,11,349190625,ZAKOPANE,3.1
83,1982,12,349190625,ZAKOPANE,-0.5
84,1983,1,349190625,ZAKOPANE,-0.7
85,1983,2,349190625,ZAKOPANE,-4.9
86,1983,3,349190625,ZAKOPANE,1.4
87,1983,4,349190625,ZAKOPANE,7.9
88,1983,5,349190625,ZAKOPANE,12.7
89,1983,6,349190625,ZAKOPANE,12.8
90,1983,7,349190625,ZAKOPANE,15.9
91,1983,8,349190625,ZAKOPANE,14.3
92,1983,9,349190625,ZAKOPANE,11.6
93,1983,10,349190625,ZAKOPANE,6.0
94,1983,11,349190625,ZAKOPANE,-0.8
95,1983,12,349190625,ZAKOPANE,-1.9
96,1984,1,349190625,ZAKOPANE,-2.8
97,1984,2,349190625,ZAKOPANE,-4.4
98,1984,3,349190625,ZAKOPANE,-2.2
