year,month,t
2010,5,17.1
2014,7,26.854320987654326
2014,8,27.397942386831286
2014,9,23.19618644067797
2014,10,18.55546558704454
2014,11,14.498723404255317
2014,12,11.932110091743127
2015,1,9.448953974895405
2015,2,9.237614678899083
2015,3,10.643718592964822
2015,4,14.471428571428573
2015,5,20.402868852459022
2015,6,22.977922077922077
2015,7,27.37178423236515
2015,8,27.88749999999999
2015,9,24.58940092165898
2015,10,18.572540983606558
2015,11,15.576694915254237
2015,12,10.306224066390048
2016,1,10.099180327868853
2016,2,12.994736842105265
2016,3,12.724896265560176
2016,4,17.831799163179916
2016,5,19.911157024793386
2016,6,25.669327731092434
2016,7,27.785829959514178
2016,8,27.41260162601627
2016,9,23.35508474576273
2016,10,18.857429718875505
2016,11,14.66176470588235
2016,12,8.241935483870966
2017,1,7.184146341463415
2017,2,10.618303571428573
2017,3,12.756734693877547
2017,4,15.15146443514644
2017,5,20.10571428571428
2017,6,24.794166666666673
2017,7,27.795141700404848
2017,8,27.966935483870966
2017,9,23.907563025210077
2017,10,18.15301204819277
2017,11,13.976666666666667
2017,12,11.76774193548387
2018,1,10.290725806451611
2018,2,11.695982142857137
2018,3,14.550607287449399
2018,4,17.573417721518993
2018,5,21.738709677419347
2018,6,25.04769874476988
2018,7,27.56153846153846
2018,8,27.331983805668017
2018,9,23.53541666666666
2018,10,18.478629032258063
2018,11,14.910833333333336
2018,12,9.681048387096773
2019,1,8.719354838709675
2019,2,9.342523364485979
2019,3,12.860323886639677
2019,4,14.366249999999999
2019,5,19.226612903225803
2019,6,25.823750000000018
2019,7,26.974390243902466
