year,month,t
2012,10,29.0
2012,11,20.0
2012,12,12.0
2013,1,13.0
2013,2,16.0
2013,3,18.0
2013,4,30.0
2013,5,32.0
2013,6,35.0
2013,7,37.0
2013,8,36.0
2013,9,29.0
2013,10,25.0
2013,11,23.0
2013,12,11.0
2014,1,15.0
2014,2,19.0
2014,3,24.0
2014,4,25.0
2014,5,30.0
2014,6,31.0
2014,7,33.0
2014,8,35.0
2014,9,30.0
2014,10,25.0
2014,11,20.0
2014,12,17.0
2015,1,13.0
2015,2,14.0
2015,3,19.0
2015,4,27.0
2015,5,29.0
2015,6,34.0
2015,7,38.0
2015,8,36.0
2015,9,35.0
2015,10,24.0
2015,11,20.0
2015,12,14.0
2016,1,11.0
2016,2,24.0
2016,3,23.0
2016,4,30.0
2016,5,31.0
2016,6,35.0
2016,7,35.0
2016,8,36.0
2016,9,32.0
2016,10,25.0
2016,11,19.0
2016,12,12.0
2017,1,6.0
2017,2,18.0
2017,3,22.0
2017,4,27.0
2017,5,30.0
2017,6,37.0
2017,7,38.0
2017,8,38.0
2017,9,34.0
2017,10,27.0
2017,11,21.0
2017,12,14.0
2018,1,14.0
2018,2,17.0
2018,3,24.0
2018,4,29.0
2018,5,31.0
2018,6,34.0
2018,7,31.0
2018,8,34.0
2018,9,33.0
2018,10,28.0
2018,11,19.0
2018,12,10.0
2019,1,8.0
2019,2,19.0
2019,3,26.0
2019,4,26.0
2019,5,28.0
2019,6,33.0
2019,7,36.0
