year,month,t
2012,10,14.493169398907105
2012,11,7.839820359281437
2012,12,-0.8510344827586207
2013,1,-0.8153618906942393
2013,2,2.84031007751938
2013,3,5.403247631935048
2013,4,14.220833333333333
2013,5,19.598118279569892
2013,6,22.15277777777778
2013,7,23.92828146143437
2013,8,24.931081081081082
2013,9,17.667130919220057
2013,10,12.293150684931506
2013,11,8.94419306184012
2013,12,0.49846153846153846
2014,1,-0.3707865168539326
2014,2,2.8926940639269407
2014,3,9.792260692464358
2014,4,12.340829234012649
2014,5,17.187669376693766
2014,6,20.340794223826716
2014,7,23.507871321013006
2014,8,24.44718792866941
2014,9,19.042918454935624
2014,10,12.080056179775282
2014,11,5.647919876733436
2014,12,1.4560838033843675
2015,1,-0.22990353697749197
2015,2,2.4213836477987423
2015,3,6.780858676207513
2015,4,12.100448430493273
2015,5,18.763302752293576
2015,6,21.563541666666666
2015,7,25.76427406199021
2015,8,24.616692426584233
2015,9,20.3346394984326
2015,10,11.514975041597339
2015,11,8.621643612693246
2015,12,3.9260182876142977
2016,1,-2.904430929626412
2016,2,6.641408751334045
2016,3,8.114232209737828
2016,4,14.884501480750247
2016,5,15.937297297297297
2016,6,22.75030599755202
2016,7,24.51558752997602
2016,8,23.447244094488187
2016,9,19.694986072423397
2016,10,10.351714862138534
2016,11,5.997876857749469
2016,12,0.32521974306964163
2017,1,-4.41329677861549
2017,2,1.4853273137697518
2017,3,9.537837837837838
2017,4,11.295755045233124
2017,5,17.129704301075268
2017,6,23.04369274136716
2017,7,23.915881561238223
2017,8,24.832882273342353
2017,9,19.655268667131892
2017,10,12.46221322537112
2017,11,7.259233449477352
2017,12,3.9018817204301075
2018,1,1.5016812373907196
2018,2,1.6512322628827483
2018,3,3.963611859838275
2018,4,16.503149055283416
2018,5,19.87849829351536
2018,6,22.76304654442877
2018,7,22.997968855788763
2018,8,24.887096774193548
2018,9,19.654140570633263
2018,10,14.28129205921938
2018,11,5.41875
2018,12,0.34229993275050435
2019,1,-0.6844234659474039
2019,2,3.937453462397617
2019,3,9.770580296896087
2019,4,11.286708420320112
2019,5,17.30343897505057
2019,6,23.402090592334496
2019,7,23.0777027027027
