year,month,t
2012,10,14.0
2012,11,7.0
2012,12,-1.0
2013,1,-1.0
2013,2,3.0
2013,3,5.0
2013,4,13.0
2013,5,19.0
2013,6,22.0
2013,7,24.0
2013,8,25.0
2013,9,17.0
2013,10,13.0
2013,11,9.0
2013,12,0.0
2014,1,1.0
2014,2,3.0
2014,3,8.0
2014,4,12.0
2014,5,17.0
2014,6,19.0
2014,7,23.0
2014,8,24.0
2014,9,19.0
2014,10,12.0
2014,11,6.0
2014,12,1.0
2015,1,1.0
2015,2,2.0
2015,3,7.0
2015,4,12.0
2015,5,18.0
2015,6,21.0
2015,7,25.0
2015,8,24.0
2015,9,20.0
2015,10,11.0
2015,11,8.0
2015,12,4.0
2016,1,-2.0
2016,2,6.0
2016,3,7.0
2016,4,14.0
2016,5,15.0
2016,6,22.0
2016,7,24.0
2016,8,23.0
2016,9,19.0
2016,10,10.0
2016,11,6.0
2016,12,0.0
2017,1,-4.0
2017,2,1.0
2017,3,9.0
2017,4,11.0
2017,5,17.0
2017,6,23.0
2017,7,23.0
2017,8,24.0
2017,9,19.0
2017,10,11.0
2017,11,7.0
2017,12,3.0
2018,1,1.0
2018,2,2.0
2018,3,3.0
2018,4,16.0
2018,5,19.0
2018,6,22.0
2018,7,22.0
2018,8,25.0
2018,9,19.0
2018,10,14.0
2018,11,4.0
2018,12,1.0
2019,1,0.0
2019,2,4.0
2019,3,9.0
2019,4,11.0
2019,5,17.0
2019,6,23.0
2019,7,22.0
