year,month,t
2012,10,16.0
2012,11,14.0
2012,12,13.0
2013,1,13.0
2013,2,9.0
2013,3,14.0
2013,4,21.0
2013,5,21.0
2013,6,25.0
2013,7,31.0
2013,8,31.0
2013,9,27.0
2013,10,20.0
2013,11,14.0
2013,12,13.0
2014,1,12.0
2014,2,12.0
2014,3,19.0
2014,4,19.0
2014,5,23.0
2014,6,25.0
2014,7,30.0
2014,8,25.0
2014,9,24.0
2014,10,20.0
2014,11,16.0
2014,12,13.0
2015,1,14.0
2015,2,11.0
2015,3,17.0
2015,4,21.0
2015,5,20.0
2015,6,28.0
2015,7,33.0
2015,8,29.0
2015,9,20.0
2015,10,18.0
2015,11,16.0
2015,12,15.0
2016,1,14.0
2016,2,13.0
2016,3,14.0
2016,4,16.0
2016,5,25.0
2016,6,24.0
2016,7,31.0
2016,8,31.0
2016,9,31.0
2016,10,18.0
2016,11,14.0
2016,12,13.0
2017,1,10.0
2017,2,15.0
2017,3,20.0
2017,4,24.0
2017,5,24.0
2017,6,30.0
2017,7,29.0
2017,8,27.0
2017,9,21.0
2017,10,21.0
2017,11,14.0
2017,12,13.0
2018,1,12.0
2018,2,10.0
2018,3,13.0
2018,4,27.0
2018,5,25.0
2018,6,27.0
2018,7,33.0
2018,8,31.0
2018,9,24.0
2018,10,23.0
2018,11,14.0
2018,12,13.0
2019,1,12.0
2019,2,18.0
2019,3,18.0
2019,4,23.0
2019,5,22.0
2019,6,31.0
2019,7,37.0
