year,month,t
2012,10,10.0
2012,11,7.0
2012,12,5.0
2013,1,1.0
2013,2,2.0
2013,3,2.0
2013,4,7.0
2013,5,10.0
2013,6,14.0
2013,7,18.0
2013,8,17.0
2013,9,13.0
2013,10,12.0
2013,11,6.0
2013,12,6.0
2014,1,6.0
2014,2,6.0
2014,3,7.0
2014,4,10.0
2014,5,12.0
2014,6,15.0
2014,7,18.0
2014,8,15.0
2014,9,15.0
2014,10,12.0
2014,11,8.0
2014,12,5.0
2015,1,4.0
2015,2,3.5
2015,3,6.0
2015,4,9.0
2015,5,11.0
2015,6,14.0
2015,7,17.0
2015,8,16.0
2015,9,12.0
2015,10,11.0
2015,11,10.0
2015,12,11.0
2016,1,5.0
2016,2,4.0
2016,3,5.0
2016,4,8.0
2016,5,12.0
2016,6,15.0
2016,7,17.0
2016,8,17.0
2016,9,16.0
2016,10,10.0
2016,11,5.0
2016,12,6.0
2017,1,3.0
2017,2,6.0
2017,3,8.0
2017,4,9.0
2017,5,13.0
2017,6,16.0
2017,7,17.0
2017,8,16.0
2017,9,13.0
2017,10,12.0
2017,11,7.0
2017,12,5.0
2018,1,5.0
2018,2,2.0
2018,3,5.0
2018,4,9.0
2018,5,13.0
2018,6,16.0
2018,7,20.0
2018,8,17.0
2018,9,14.0
2018,10,11.0
2018,11,8.0
2018,12,7.0
2019,1,4.0
2019,2,7.0
2019,3,8.0
2019,4,8.0
2019,5,11.0
2019,6,14.0
2019,7,18.0
