year,month,t
2012,10,29.0
2012,11,20.0
2012,12,16.0
2013,1,18.0
2013,2,16.0
2013,3,17.0
2013,4,28.0
2013,5,27.0
2013,6,35.0
2013,7,38.0
2013,8,39.0
2013,9,34.0
2013,10,27.0
2013,11,23.0
2013,12,17.0
2014,1,17.0
2014,2,17.0
2014,3,24.0
2014,4,28.0
2014,5,31.0
2014,6,34.0
2014,7,38.0
2014,8,35.0
2014,9,38.0
2014,10,30.0
2014,11,22.0
2014,12,16.0
2015,1,18.0
2015,2,17.0
2015,3,26.0
2015,4,24.0
2015,5,37.0
2015,6,40.0
2015,7,41.0
2015,8,38.0
2015,9,31.0
2015,10,26.0
2015,11,23.0
2015,12,18.0
2016,1,19.0
2016,2,17.0
2016,3,23.0
2016,4,22.0
2016,5,29.0
2016,6,37.0
2016,7,39.0
2016,8,38.0
2016,9,40.0
2016,10,29.0
2016,11,22.0
2016,12,17.0
2017,1,17.0
2017,2,20.0
2017,3,27.0
2017,4,28.0
2017,5,35.0
2017,6,41.0
2017,7,42.0
2017,8,40.0
2017,9,34.0
2017,10,31.0
2017,11,20.0
2017,12,18.0
2018,1,17.0
2018,2,17.0
2018,3,22.0
2018,4,28.0
2018,5,28.0
2018,6,38.0
2018,7,36.0
2018,8,41.0
2018,9,37.0
2018,10,29.0
2018,11,19.0
2018,12,17.0
2019,1,16.0
2019,2,21.0
2019,3,25.0
2019,4,26.0
2019,5,34.0
2019,6,41.0
2019,7,40.0
