year,month,t
2012,10,15.0
2012,11,10.0
2012,12,6.0
2013,1,6.0
2013,2,6.0
2013,3,10.0
2013,4,12.0
2013,5,14.0
2013,6,21.0
2013,7,27.0
2013,8,27.0
2013,9,22.0
2013,10,16.0
2013,11,9.0
2013,12,5.0
2014,1,8.0
2014,2,8.0
2014,3,11.0
2014,4,15.0
2014,5,18.0
2014,6,23.0
2014,7,24.0
2014,8,26.0
2014,9,21.0
2014,10,17.0
2014,11,10.0
2014,12,6.0
2015,1,4.0
2015,2,6.0
2015,3,9.0
2015,4,14.0
2015,5,20.0
2015,6,23.0
2015,7,30.0
2015,8,26.0
2015,9,20.0
2015,10,16.0
2015,11,11.0
2015,12,7.0
2016,1,8.0
2016,2,8.0
2016,3,9.0
2016,4,11.0
2016,5,14.0
2016,6,23.0
2016,7,28.0
2016,8,27.0
2016,9,22.0
2016,10,15.0
2016,11,9.0
2016,12,7.0
2017,1,5.0
2017,2,8.0
2017,3,10.0
2017,4,14.0
2017,5,20.0
2017,6,26.0
2017,7,27.0
2017,8,26.0
2017,9,21.0
2017,10,17.0
2017,11,9.0
2017,12,7.0
2018,1,5.0
2018,2,5.0
2018,3,9.0
2018,4,12.0
2018,5,16.0
2018,6,21.0
2018,7,26.0
2018,8,28.0
2018,9,23.0
2018,10,15.0
2018,11,10.0
2018,12,6.0
2019,1,4.0
2019,2,6.0
2019,3,11.0
2019,4,11.0
2019,5,18.0
2019,6,24.0
2019,7,28.0
