year,month,t
2012,10,14.0
2012,11,11.0
2012,12,6.0
2013,1,5.0
2013,2,9.0
2013,3,6.0
2013,4,15.0
2013,5,22.0
2013,6,25.0
2013,7,28.0
2013,8,27.0
2013,9,23.0
2013,10,17.0
2013,11,11.0
2013,12,9.0
2014,1,7.0
2014,2,9.0
2014,3,14.0
2014,4,22.0
2014,5,27.0
2014,6,25.0
2014,7,31.0
2014,8,30.0
2014,9,23.0
2014,10,17.0
2014,11,13.0
2014,12,5.0
2015,1,8.0
2015,2,8.0
2015,3,16.0
2015,4,16.0
2015,5,18.0
2015,6,25.0
2015,7,29.0
2015,8,25.0
2015,9,20.0
2015,10,18.0
2015,11,13.0
2015,12,13.0
2016,1,8.0
2016,2,7.0
2016,3,12.0
2016,4,14.0
2016,5,25.0
2016,6,28.0
2016,7,29.0
2016,8,27.0
2016,9,24.0
2016,10,15.0
2016,11,9.0
2016,12,10.0
2017,1,8.0
2017,2,7.0
2017,3,18.0
2017,4,14.0
2017,5,28.0
2017,6,26.0
2017,7,23.0
2017,8,24.0
2017,9,18.0
2017,10,16.0
2017,11,10.0
2017,12,7.0
2018,1,7.0
2018,2,3.0
2018,3,9.0
2018,4,24.0
2018,5,28.0
2018,6,29.0
2018,7,32.0
2018,8,31.0
2018,9,23.0
2018,10,19.0
2018,11,11.0
2018,12,7.0
2019,1,7.0
2019,2,10.0
2019,3,14.0
2019,4,20.0
2019,5,26.0
2019,6,29.0
2019,7,31.0
