year,month,t
2012,9,26.0
2012,10,21.0
2012,11,15.0
2012,12,8.0
2013,1,8.0
2013,2,6.0
2013,3,14.0
2013,4,26.0
2013,5,27.0
2013,6,32.0
2013,7,36.0
2013,8,37.0
2013,9,24.0
2013,10,22.0
2013,11,16.0
2013,12,10.0
2014,1,9.0
2014,2,10.0
2014,3,22.0
2014,4,23.0
2014,5,28.0
2014,6,29.0
2014,7,31.0
2014,8,33.0
2014,9,27.0
2014,10,24.0
2014,11,19.0
2014,12,12.0
2015,1,11.0
2015,2,10.0
2015,3,20.0
2015,4,24.0
2015,5,26.0
2015,6,30.0
2015,7,36.0
2015,8,37.0
2015,9,35.0
2015,10,23.0
2015,11,16.0
2015,12,15.0
2016,1,11.0
2016,2,12.0
2016,3,16.0
2016,4,24.0
2016,5,30.0
2016,6,34.0
2016,7,32.0
2016,8,31.0
2016,9,30.0
2016,10,23.0
2016,11,13.0
2016,12,10.0
2017,1,4.0
2017,2,14.0
2017,3,21.0
2017,4,24.0
2017,5,28.0
2017,6,31.0
2017,7,32.0
2017,8,34.0
2017,9,25.0
2017,10,23.0
2017,11,14.0
2017,12,11.0
2018,1,10.0
2018,2,5.0
2018,3,16.0
2018,4,28.0
2018,5,32.0
2018,6,33.0
2018,7,34.0
2018,8,33.0
2018,9,29.0
2018,10,22.0
2018,11,20.0
2018,12,8.0
2019,1,7.0
2019,2,14.0
2019,3,18.0
2019,4,28.0
2019,5,27.0
2019,6,36.0
2019,7,34.0
