year,month,t
2012,9,15.0
2012,10,8.0
2012,11,6.0
2012,12,-3.0
2013,1,-4.0
2013,2,-0.5
2013,3,-2.0
2013,4,8.0
2013,5,15.0
2013,6,18.0
2013,7,20.0
2013,8,19.0
2013,9,12.0
2013,10,11.0
2013,11,5.0
2013,12,2.0
2014,1,-2.0
2014,2,2.0
2014,3,6.0
2014,4,10.0
2014,5,14.0
2014,6,16.0
2014,7,21.0
2014,8,18.0
2014,9,15.0
2014,10,10.0
2014,11,5.0
2014,12,1.0
2015,1,1.0
2015,2,1.0
2015,3,5.0
2015,4,8.0
2015,5,14.0
2015,6,18.0
2015,7,20.0
2015,8,23.0
2015,9,15.0
2015,10,8.0
2015,11,5.0
2015,12,5.0
2016,1,-3.0
2016,2,3.0
2016,3,4.0
2016,4,10.0
2016,5,16.0
2016,6,19.0
2016,7,20.0
2016,8,18.0
2016,9,16.0
2016,10,7.0
2016,11,3.0
2016,12,1.0
2017,1,-2.0
2017,2,-1.0
2017,3,6.0
2017,4,7.0
2017,5,15.0
2017,6,19.0
2017,7,19.0
2017,8,20.0
2017,9,14.0
2017,10,10.0
2017,11,5.0
2017,12,2.0
2018,1,1.0
2018,2,-2.0
2018,3,1.0
2018,4,14.0
2018,5,18.0
2018,6,20.0
2018,7,21.0
2018,8,21.0
2018,9,16.0
2018,10,9.0
2018,11,4.0
2018,12,2.0
2019,1,-2.0
2019,2,3.0
2019,3,6.0
2019,4,11.0
2019,5,14.0
2019,6,23.0
2019,7,19.0
