year,month,t
2012,9,15.02608695652174
2012,10,8.14526588845655
2012,11,5.658409387222947
2012,12,-3.1518817204301075
2013,1,-3.5464333781965007
2013,2,-0.493993993993994
2013,3,-1.7540540540540541
2013,4,7.9264909847434115
2013,5,15.419786096256685
2013,6,18.591232227488153
2013,7,20.15730337078652
2013,8,19.503416856492027
2013,9,12.34543325526932
2013,10,10.415113871635612
2013,11,5.591286307053942
2013,12,2.317682317682318
2014,1,-3.0592300098716683
2014,2,1.816618911174785
2014,3,6.748440748440748
2014,4,10.41340782122905
2014,5,14.453072248480757
2014,6,16.463829787234044
2014,7,21.35883547731889
2014,8,18.157894736842106
2014,9,15.059871703492517
2014,10,9.669896193771626
2014,11,4.881281864530226
2014,12,0.9354604786076868
2015,1,1.4479638009049773
2015,2,1.1438784629133154
2015,3,5.576785714285714
2015,4,8.645569620253164
2015,5,13.398897058823529
2015,6,17.9
2015,7,20.380523731587562
2015,8,23.5808936825886
2015,9,15.600778210116731
2015,10,7.781353135313531
2015,11,5.348387096774194
2015,12,4.8954143201930815
2016,1,-2.903878583473862
2016,2,3.7563291139240507
2016,3,4.1934579439252335
2016,4,9.643343051506317
2016,5,15.870171673819742
2016,6,19.435308343409915
2016,7,19.90747330960854
2016,8,18.78046875
2016,9,16.60709318497914
2016,10,7.881879194630873
2016,11,3.344923504867872
2016,12,1.294078061911171
2017,1,-3.558843308675185
2017,2,-0.6478034251675354
2017,3,6.245956873315364
2017,4,7.854166666666667
2017,5,14.870295698924732
2017,6,18.53098591549296
2017,7,18.952893674293406
2017,8,19.718052738336713
2017,9,14.255230125523013
2017,10,10.145748987854251
2017,11,5.008350730688935
2017,12,2.5527908540685944
2018,1,0.8736559139784946
2018,2,-2.93955223880597
2018,3,1.0835579514824798
2018,4,13.782913165266107
2018,5,18.765146358066712
2018,6,20.024682651622
2018,7,21.80162491536899
2018,8,21.15793010752688
2018,9,16.306675938803895
2018,10,10.238896366083445
2018,11,4.565277777777778
2018,12,1.6751849361129791
2019,1,-1.6464646464646464
2019,2,3.1742367833209233
2019,3,6.08024275118004
2019,4,11.137091162143355
2019,5,13.781523937963588
2019,6,23.194560669456067
2019,7,19.48013468013468
