year,month,average_temp
2012,9,15.0260869565
2012,10,8.1272493573
2012,11,5.6549479167
2012,12,-3.1518817204
2013,1,-3.5464333782
2013,2,-0.493993994
2013,3,-1.7540540541
2013,4,7.9264909847
2013,5,15.4197860963
2013,6,18.5912322275
2013,7,20.1573033708
2013,8,19.5034168565
2013,9,12.3454332553
2013,10,10.4136504654
2013,11,5.5912863071
2013,12,2.3176823177
2014,1,-3.0592300099
2014,2,1.7897727273
2014,3,6.7484407484
2014,4,10.4134078212
2014,5,14.4530722485
2014,6,16.4638297872
2014,7,21.3588354773
2014,8,18.1578947368
2014,9,15.0576923077
2014,10,9.6698961938
2014,11,4.8812818645
2014,12,0.9354604786
2015,1,1.4479638009
2015,2,1.1438784629
2015,3,5.5767857143
2015,4,8.6455696203
2015,5,13.3988970588
2015,6,17.9
2015,7,20.3805237316
2015,8,23.5808936826
2015,9,15.6007782101
2015,10,7.7813531353
2015,11,5.3521353747
2015,12,4.8954143202
2016,1,-2.9038785835
2016,2,3.7563291139
2016,3,4.1934579439
2016,4,9.6433430515
2016,5,15.8701716738
2016,6,19.4353083434
2016,7,19.9074733096
2016,8,18.78046875
2016,9,16.607093185
2016,10,7.8818791946
2016,11,3.3449235049
2016,12,1.2940780619
2017,1,-3.5588433087
2017,2,-0.6478034252
2017,3,6.2459568733
2017,4,7.8541666667
2017,5,14.8702956989
2017,6,18.5309859155
2017,7,18.9528936743
2017,8,19.7180527383
2017,9,14.2552301255
2017,10,10.1457489879
2017,11,5.0083507307
2017,12,2.5527908541
2018,1,0.873655914
2018,2,-2.9395522388
2018,3,1.0835579515
2018,4,13.7829131653
2018,5,18.7651463581
2018,6,20.0246826516
2018,7,21.8016249154
2018,8,21.1579301075
2018,9,16.3066759388
2018,10,10.2388963661
2018,11,4.5652777778
2018,12,1.6751849361
2019,1,-1.6464646465
2019,2,3.1742367833
2019,3,6.0802427512
2019,4,11.1370911621
2019,5,13.781523938
2019,6,23.1945606695
2019,7,19.4801346801
